GBR_ID,GBR_NAME,NRM_REGION,LONGITUDE,LATITUDE,REPORT_YEAR,MEAN_LIVE_CORAL,MEAN_DEAD_CORAL,MEAN_COTS_PER_TOW
12071,Cape York Outer 12-071,Cape York,143.771378,-12.488822,2019,35.2,10.7,0.1
12071,Cape York Outer 12-071,Cape York,143.771378,-12.488822,2020,28.0,17.7,0
12071,Cape York Outer 12-071,Cape York,143.771378,-12.488822,2021,41.7,8.3,0.32
12071,Cape York Outer 12-071,Cape York,143.771378,-12.488822,2022,36.5,9.3,0.47
12071,Cape York Outer 12-071,Cape York,143.771378,-12.488822,2023,37.6,3.5,0.1
11011A,Cape York Fringe 11-011,Cape York,142.82872,-11.290187,2018,40.7,13.9,0.12
11011A,Cape York Fringe 11-011,Cape York,142.82872,-11.290187,2019,36.9,8.3,0.27
11011A,Cape York Fringe 11-011,Cape York,142.82872,-11.290187,2020,32.3,24.9,0.1
11011A,Cape York Fringe 11-011,Cape York,142.82872,-11.290187,2021,42.8,9.7,0.03
11011A,Cape York Fringe 11-011,Cape York,142.82872,-11.290187,2022,40.8,8.5,0.2
11011A,Cape York Fringe 11-011,Cape York,142.82872,-11.290187,2023,44.5,6.6,0.03
12075,Cape York Bank 12-075,Cape York,143.322586,-12.555551,2018,28.2,11.9,0
12075,Cape York Bank 12-075,Cape York,143.322586,-12.555551,2019,30.7,10.9,0.3
12075,Cape York Bank 12-075,Cape York,143.322586,-12.555551,2020,22.6,19.9,0.08
12075,Cape York Bank 12-075,Cape York,143.322586,-12.555551,2021,36.0,11.8,0.2
12075,Cape York Bank 12-075,Cape York,143.322586,-12.555551,2022,40.4,8.3,0.21
12075,Cape York Bank 12-075,Cape York,143.322586,-12.555551,2023,35.2,7.3,0.38
99530A,Far North Shoal 10-1150,Cape York,142.372177,-10.759225,2018,43.7,8.8,0.19
99530A,Far North Shoal 10-1150,Cape York,142.372177,-10.759225,2019,48.9,5.6,0
99530A,Far North Shoal 10-1150,Cape York,142.372177,-10.759225,2020,33.4,22.7,0.16
99530A,Far North Shoal 10-1150,Cape York,142.372177,-10.759225,2021,46.5,2.7,0.18
99530A,Far North Shoal 10-1150,Cape York,142.372177,-10.759225,2022,50.5,11.4,0.23
99530A,Far North Shoal 10-1150,Cape York,142.372177,-10.759225,2023,50.2,12.0,0.14
13113,Iris Reef,Cape York,143.841629,-13.96045,2018,30.3,8.2,0
13113,Iris Reef,Cape York,143.841629,-13.96045,2019,32.5,10.3,0.11
13113,Iris Reef,Cape York,143.841629,-13.96045,2020,24.1,22.2,0.1
13113,Iris Reef,Cape York,143.841629,-13.96045,2021,32.6,8.6,0.02
13113,Iris Reef,Cape York,143.841629,-13.96045,2022,34.3,8.6,0.33
13113,Iris Reef,Cape York,143.841629,-13.96045,2023,37.3,11.1,0.08
10329,Ariel Bank,Cape York,142.625198,-10.770746,2018,38.4,10.9,0.19
10329,Ariel Bank,Cape York,142.625198,-10.770746,2019,40.0,15.6,0.21
10329,Ariel Bank,Cape York,142.625198,-10.770746,2020,25.4,15.8,0.22
10329,Ariel Bank,Cape York,142.625198,-10.770746,2021,43.9,2.7,0.03
10329,Ariel Bank,Cape York,142.625198,-10.770746,2022,45.4,12.3,0.34
10329,Ariel Bank,Cape York,142.625198,-10.770746,2023,48.3,1.8,0.23
13089,Cooktown Outer 13-089,Cape York,143.947723,-13.756306,2018,25.8,10.8,0.04
13089,Cooktown Outer 13-089,Cape York,143.947723,-13.756306,2019,27.4,11.5,0
13089,Cooktown Outer 13-089,Cape York,143.947723,-13.756306,2020,11.5,20.5,0.29
13089,Cooktown Outer 13-089,Cape York,143.947723,-13.756306,2021,22.1,9.8,0.33
13089,Cooktown Outer 13-089,Cape York,143.947723,-13.756306,2022,24.1,9.0,0.17
13089,Cooktown Outer 13-089,Cape York,143.947723,-13.756306,2023,25.2,9.9,0.16
20339A,Burdekin Bank 20-339,Burdekin,150.883972,-20.725861,2018,21.4,21.6,1.7
20339A,Burdekin Bank 20-339,Burdekin,150.883972,-20.725861,2019,16.8,16.8,2.54
20339A,Burdekin Bank 20-339,Burdekin,150.883972,-20.725861,2020,3,31.8,4.03
20339A,Burdekin Bank 20-339,Burdekin,150.883972,-20.725861,2021,18.4,20.4,1.63
20339A,Burdekin Bank 20-339,Burdekin,150.883972,-20.725861,2022,20.0,16.0,2.13
20339A,Burdekin Bank 20-339,Burdekin,150.883972,-20.725861,2023,17.5,17.7,1.79
20438,Burdekin Shoal 20-1238,Burdekin,152.111572,-20.912733,2018,26.3,17.6,1.61
20438,Burdekin Shoal 20-1238,Burdekin,152.111572,-20.912733,2019,21.1,17.8,1.3
20438,Burdekin Shoal 20-1238,Burdekin,152.111572,-20.912733,2020,12.7,24.9,3.06
20438,Burdekin Shoal 20-1238,Burdekin,152.111572,-20.912733,2021,22.1,17.8,3.15
20438,Burdekin Shoal 20-1238,Burdekin,152.111572,-20.912733,2022,24.6,20.4,1.52
20438,Burdekin Shoal 20-1238,Burdekin,152.111572,-20.912733,2023,27.4,22.1,1.32
20257A,Ingot Islets (No 1),Burdekin,149.14151,-20.706301,2018,24.1,21.7,1.8
20257A,Ingot Islets (No 1),Burdekin,149.14151,-20.706301,2019,19.5,20.8,1.42
20257A,Ingot Islets (No 1),Burdekin,149.14151,-20.706301,2020,5.0,33.8,3.52
20257A,Ingot Islets (No 1),Burdekin,149.14151,-20.706301,2021,22.7,20.1,1.69
20257A,Ingot Islets (No 1),Burdekin,149.14151,-20.706301,2022,22.2,20.9,1.86
20257A,Ingot Islets (No 1),Burdekin,149.14151,-20.706301,2023,22.9,20.7,2.24
19036,Townsville Outer 19-036,Burdekin,148.322495,-19.096083,2018,21.5,20.2,2.36
19036,Townsville Outer 19-036,Burdekin,148.322495,-19.096083,2019,26.4,17.8,1.51
19036,Townsville Outer 19-036,Burdekin,148.322495,-19.096083,2020,5.9,30.7,3.84
19036,Townsville Outer 19-036,Burdekin,148.322495,-19.096083,2021,26.0,21.4,2.82
19036,Townsville Outer 19-036,Burdekin,148.322495,-19.096083,2022,28.4,17.9,3.33
19036,Townsville Outer 19-036,Burdekin,148.322495,-19.096083,2023,26.8,13.6,2.09
20212,Burdekin Flat 20-212,Burdekin,148.731262,-20.646444,2018,9.0,13.2,0.97
20212,Burdekin Flat 20-212,Burdekin,148.731262,-20.646444,2019,16.5,16.5,1.66
20212,Burdekin Flat 20-212,Burdekin,148.731262,-20.646444,2020,3,25.4,2.25
20212,Burdekin Flat 20-212,Burdekin,148.731262,-20.646444,2021,14.7,21.2,2.0
20212,Burdekin Flat 20-212,Burdekin,148.731262,-20.646444,2022,12.4,17.2,2.01
20212,Burdekin Flat 20-212,Burdekin,148.731262,-20.646444,2023,14.8,21.1,1.48
19013,Salamander Reef,Burdekin,147.065567,-19.179392,2018,33.3,20.9,1.48
19013,Salamander Reef,Burdekin,147.065567,-19.179392,2019,29.7,22.0,2.04
19013,Salamander Reef,Burdekin,147.065567,-19.179392,2020,15.1,29.3,3.44
19013,Salamander Reef,Burdekin,147.065567,-19.179392,2021,31.5,22.1,1.77
19013,Salamander Reef,Burdekin,147.065567,-19.179392,2022,35.1,19.0,2.99
19013,Salamander Reef,Burdekin,147.065567,-19.179392,2023,29.5,14.4,2.28
19216,Burdekin Patch 19-216,Burdekin,150.248535,-19.889183,2018,14.6,19.6,2.22
19216,Burdekin Patch 19-216,Burdekin,150.248535,-19.889183,2019,15.1,19.4,1.33
19216,Burdekin Patch 19-216,Burdekin,150.248535,-19.889183,2020,3.5,27.0,3.32
19216,Burdekin Patch 19-216,Burdekin,150.248535,-19.889183,2021,18.0,19.5,2.62
19216,Burdekin Patch 19-216,Burdekin,150.248535,-19.889183,2022,16.0,21.0,2.84
19216,Burdekin Patch 19-216,Burdekin,150.248535,-19.889183,2023,15.4,20.2,1.33
18084B,Cup Reef (South),Wet Tropics,147.597992,-18.6416,2018,27.6,25.9,0.64
18084B,Cup Reef (South),Wet Tropics,147.597992,-18.6416,2019,29.1,22.8,0.57
18084B,Cup Reef (South),Wet Tropics,147.597992,-18.6416,2020,16.2,33.6,0.62
18084B,Cup Reef (South),Wet Tropics,147.597992,-18.6416,2021,28.3,22.1,0
18084B,Cup Reef (South),Wet Tropics,147.597992,-18.6416,2022,31.7,22.3,0.62
18084B,Cup Reef (South),Wet Tropics,147.597992,-18.6416,2023,32.8,19.6,0.27
16107,Cairns Inshore 16-1016,Wet Tropics,145.943375,-16.881578,2018,25.9,22.7,0.4
16107,Cairns Inshore 16-1016,Wet Tropics,145.943375,-16.881578,2019,20.7,19.2,0.9
16107,Cairns Inshore 16-1016,Wet Tropics,145.943375,-16.881578,2020,4.5,30.8,0.59
16107,Cairns Inshore 16-1016,Wet Tropics,145.943375,-16.881578,2021,21.8,15.1,0.23
16107,Cairns Inshore 16-1016,Wet Tropics,145.943375,-16.881578,2022,26.4,25.8,0.73
16107,Cairns Inshore 16-1016,Wet Tropics,145.943375,-16.881578,2023,24.2,20.5,0.62
17021B,Innisfail Bank 17-021,Wet Tropics,146.462952,-17.448048,2018,8.6,21.6,0.98
17021B,Innisfail Bank 17-021,Wet Tropics,146.462952,-17.448048,2019,9.5,20.5,0.77
17021B,Innisfail Bank 17-021,Wet Tropics,146.462952,-17.448048,2020,3,35.5,0.6
17021B,Innisfail Bank 17-021,Wet Tropics,146.462952,-17.448048,2021,9.8,26.0,0.46
17021B,Innisfail Bank 17-021,Wet Tropics,146.462952,-17.448048,2022,12.5,17.6,0.18
17021B,Innisfail Bank 17-021,Wet Tropics,146.462952,-17.448048,2023,12.7,23.8,0.51
17068,Moss Reef,Wet Tropics,146.794724,-17.945639,2018,21.3,19.3,0.58
17068,Moss Reef,Wet Tropics,146.794724,-17.945639,2019,23.9,19.9,0.83
17068,Moss Reef,Wet Tropics,146.794724,-17.945639,2020,10.4,33.4,0.42
17068,Moss Reef,Wet Tropics,146.794724,-17.945639,2021,23.4,20.0,1.03
17068,Moss Reef,Wet Tropics,146.794724,-17.945639,2022,26.0,22.6,0.71
17068,Moss Reef,Wet Tropics,146.794724,-17.945639,2023,26.2,18.9,0.83
18093,Anzac Reefs (No 5),Wet Tropics,147.934128,-18.764565,2018,14.6,22.9,0.65
18093,Anzac Reefs (No 5),Wet Tropics,147.934128,-18.764565,2019,14.8,21.7,0.27
18093,Anzac Reefs (No 5),Wet Tropics,147.934128,-18.764565,2020,3,28.0,0.58
18093,Anzac Reefs (No 5),Wet Tropics,147.934128,-18.764565,2021,15.0,22.7,0.93
18093,Anzac Reefs (No 5),Wet Tropics,147.934128,-18.764565,2022,15.3,25.4,0.25
18093,Anzac Reefs (No 5),Wet Tropics,147.934128,-18.764565,2023,17.0,17.1,0.74
17018A,Howie Reef,Wet Tropics,146.385086,-17.39389,2018,19.2,22.2,0.74
17018A,Howie Reef,Wet Tropics,146.385086,-17.39389,2019,17.8,23.6,0.78
17018A,Howie Reef,Wet Tropics,146.385086,-17.39389,2020,3,32.8,0.71
17018A,Howie Reef,Wet Tropics,146.385086,-17.39389,2021,16.8,13.8,0.35
17018A,Howie Reef,Wet Tropics,146.385086,-17.39389,2022,17.8,23.3,0.65
17018A,Howie Reef,Wet Tropics,146.385086,-17.39389,2023,18.6,23.4,0.86
17046,Sisters-Stephens Reef,Wet Tropics,146.153625,-17.749558,2018,20.8,30.5,0.18
17046,Sisters-Stephens Reef,Wet Tropics,146.153625,-17.749558,2019,21.0,26.5,0.91
17046,Sisters-Stephens Reef,Wet Tropics,146.153625,-17.749558,2020,8.4,29.0,0.4
17046,Sisters-Stephens Reef,Wet Tropics,146.153625,-17.749558,2021,23.3,28.7,0.74
17046,Sisters-Stephens Reef,Wet Tropics,146.153625,-17.749558,2022,19.6,22.5,0.47
17046,Sisters-Stephens Reef,Wet Tropics,146.153625,-17.749558,2023,24.1,20.8,0.49
23041,Innamincka Shoal,Fitzroy,151.833435,-23.005487,2018,44.9,7.7,0.7
23041,Innamincka Shoal,Fitzroy,151.833435,-23.005487,2019,46.0,14.0,0.04
23041,Innamincka Shoal,Fitzroy,151.833435,-23.005487,2020,42.0,10.7,0.43
23041,Innamincka Shoal,Fitzroy,151.833435,-23.005487,2021,42.9,10.8,0.54
23041,Innamincka Shoal,Fitzroy,151.833435,-23.005487,2022,40.9,8.0,0.45
23041,Innamincka Shoal,Fitzroy,151.833435,-23.005487,2023,43.8,6.0,0.35
23060,Rat Reef,Fitzroy,151.317871,-23.438657,2018,37.6,15.2,0.3
23060,Rat Reef,Fitzroy,151.317871,-23.438657,2019,38.7,10.7,0.25
23060,Rat Reef,Fitzroy,151.317871,-23.438657,2020,35.8,11.4,0.22
23060,Rat Reef,Fitzroy,151.317871,-23.438657,2021,40.4,8.6,0.02
23060,Rat Reef,Fitzroy,151.317871,-23.438657,2022,36.8,10.8,0.48
23060,Rat Reef,Fitzroy,151.317871,-23.438657,2023,38.8,6.0,0.09
23016,Humpy (Bur-ye-Bur-ye) Reef,Fitzroy,150.967682,-23.211159,2018,43.2,6.7,0.19
23016,Humpy (Bur-ye-Bur-ye) Reef,Fitzroy,150.967682,-23.211159,2019,47.9,7.5,0.33
23016,Humpy (Bur-ye-Bur-ye) Reef,Fitzroy,150.967682,-23.211159,2020,45.9,8.4,0.48
23016,Humpy (Bur-ye-Bur-ye) Reef,Fitzroy,150.967682,-23.211159,2021,44.6,8.8,0.41
23016,Humpy (Bur-ye-Bur-ye) Reef,Fitzroy,150.967682,-23.211159,2022,49.0,7.2,0
23016,Humpy (Bur-ye-Bur-ye) Reef,Fitzroy,150.967682,-23.211159,2023,45.2,9.1,0.29
23079,Boult Reef,Fitzroy,152.271942,-23.757486,2018,37.5,12.0,0.25
23079,Boult Reef,Fitzroy,152.271942,-23.757486,2019,40.7,16.1,0.18
23079,Boult Reef,Fitzroy,152.271942,-23.757486,2020,36.1,6.8,0.47
23079,Boult Reef,Fitzroy,152.271942,-23.757486,2021,41.2,9.7,0.29
23079,Boult Reef,Fitzroy,152.271942,-23.757486,2022,42.0,6.1,0.06
23079,Boult Reef,Fitzroy,152.271942,-23.757486,2023,39.0,10.8,0.43
23020,Mother Macgregor Reef,Fitzroy,150.826309,-23.284651,2018,31.9,13.2,0.33
23020,Mother Macgregor Reef,Fitzroy,150.826309,-23.284651,2019,32.8,14.4,0.33
23020,Mother Macgregor Reef,Fitzroy,150.826309,-23.284651,2020,33.6,9.3,0.13
23020,Mother Macgregor Reef,Fitzroy,150.826309,-23.284651,2021,39.2,8.0,0.09
23020,Mother Macgregor Reef,Fitzroy,150.826309,-23.284651,2022,35.7,8.4,0.37
23020,Mother Macgregor Reef,Fitzroy,150.826309,-23.284651,2023,39.1,8.6,0
23064,Sable Chief Rocks Reef,Fitzroy,151.388229,-23.813761,2018,35.2,7.7,0.17
23064,Sable Chief Rocks Reef,Fitzroy,151.388229,-23.813761,2019,38.0,7.3,0.44
23064,Sable Chief Rocks Reef,Fitzroy,151.388229,-23.813761,2020,35.6,6.6,0.3
23064,Sable Chief Rocks Reef,Fitzroy,151.388229,-23.813761,2021,41.1,12.7,0.18
23064,Sable Chief Rocks Reef,Fitzroy,151.388229,-23.813761,2022,39.1,8.0,0.45
23064,Sable Chief Rocks Reef,Fitzroy,151.388229,-23.813761,2023,39.7,9.2,0.34
24010,Bunker Group 24-010,Burnett Mary,153.103683,-24.388155,2018,49.0,4.1,0
24010,Bunker Group 24-010,Burnett Mary,153.103683,-24.388155,2019,48.5,10.4,0.13
24010,Bunker Group 24-010,Burnett Mary,153.103683,-24.388155,2020,49.3,3.6,0
24010,Bunker Group 24-010,Burnett Mary,153.103683,-24.388155,2021,46.5,7.8,0.11
24010,Bunker Group 24-010,Burnett Mary,153.103683,-24.388155,2022,44.0,4.0,0.05
24010,Bunker Group 24-010,Burnett Mary,153.103683,-24.388155,2023,46.7,4.6,0.12
24008,Lady Elliot Island Reef,Burnett Mary,152.715424,-24.113283,2018,39.5,6.7,0
24008,Lady Elliot Island Reef,Burnett Mary,152.715424,-24.113283,2019,43.0,1.5,0.09
24008,Lady Elliot Island Reef,Burnett Mary,152.715424,-24.113283,2020,43.7,7.9,0.09
24008,Lady Elliot Island Reef,Burnett Mary,152.715424,-24.113283,2021,42.4,3.4,0
24008,Lady Elliot Island Reef,Burnett Mary,152.715424,-24.113283,2022,45.3,1,0.08
24008,Lady Elliot Island Reef,Burnett Mary,152.715424,-24.113283,2023,41.8,2.7,0.12
24011,Porpoise Shoal,Burnett Mary,153.149094,-24.642788,2018,45.8,6.5,0.05
24011,Porpoise Shoal,Burnett Mary,153.149094,-24.642788,2019,47.1,1,0.13
24011,Porpoise Shoal,Burnett Mary,153.149094,-24.642788,2020,50.4,3.8,0.06
24011,Porpoise Shoal,Burnett Mary,153.149094,-24.642788,2021,48.0,1,0
24011,Porpoise Shoal,Burnett Mary,153.149094,-24.642788,2022,52.1,5.5,0.04
24011,Porpoise Shoal,Burnett Mary,153.149094,-24.642788,2023,51.8,2.2,0.03
24009A,Herald Patches,Burnett Mary,152.336578,-24.209553,2018,48.7,4.6,0.06
24009A,Herald Patches,Burnett Mary,152.336578,-24.209553,2019,50.4,10.6,0.1
24009A,Herald Patches,Burnett Mary,152.336578,-24.209553,2020,50.8,3.6,0.07
24009A,Herald Patches,Burnett Mary,152.336578,-24.209553,2021,51.6,2.7,0.06
24009A,Herald Patches,Burnett Mary,152.336578,-24.209553,2022,52.4,5.2,0.09
24009A,Herald Patches,Burnett Mary,152.336578,-24.209553,2023,48.7,3.9,0.02
24006,Red Rocks Reef,Burnett Mary,151.950775,-24.261658,2018,46.2,4.4,0.0
24006,Red Rocks Reef,Burnett Mary,151.950775,-24.261658,2019,45.0,7.3,0.03
24006,Red Rocks Reef,Burnett Mary,151.950775,-24.261658,2020,47.6,1.2,0.01
24006,Red Rocks Reef,Burnett Mary,151.950775,-24.261658,2021,49.4,1.7,0
24006,Red Rocks Reef,Burnett Mary,151.950775,-24.261658,2022,46.9,1,0.09
24006,Red Rocks Reef,Burnett Mary,151.950775,-24.261658,2023,45.3,8.2,0.01
